s,t,o,h,l,c,v
ok,2024-02-22 10:00:00,5.88,5.88,4.5,4.5,19157
ok,2024-02-22 10:30:00,4.1,4.1,2.36,2.39,28216
ok,2024-02-22 11:00:00,2.32,2.53,1.74,1.74,182851
ok,2024-02-22 11:30:00,1.74,1.99,1.66,1.85,155961
ok,2024-02-22 12:00:00,1.8,2.3,1.79,2.0,326683
ok,2024-02-22 12:30:00,1.99,2.05,1.94,2.0,50401
ok,2024-02-22 13:00:00,2.0,2.1,1.78,1.87,105487
ok,2024-02-22 13:30:00,1.84,2.0,1.8,1.9,42912
ok,2024-02-22 14:00:00,1.86,1.95,1.72,1.88,33268
ok,2024-02-22 14:30:00,1.87,1.91,1.73,1.77,30822
ok,2024-02-22 15:00:00,1.8,1.9,1.8,1.89,14246
ok,2024-02-22 15:30:00,1.89,1.96,1.78,1.9,59356
ok,2024-02-22 16:00:00,1.89,2.07,1.8,2.0,9726
ok,2024-02-22 16:30:00,1.97,2.13,1.92,2.13,23743
ok,2024-02-22 17:00:00,2.15,2.6,2.1,2.4,90703
ok,2024-02-22 17:30:00,2.38,2.55,2.31,2.41,27169
ok,2024-02-22 18:00:00,2.41,2.79,2.38,2.65,71316
ok,2024-02-22 18:30:00,2.68,2.73,2.22,2.29,47209
ok,2024-02-22 19:00:00,2.29,2.39,2.22,2.39,29628
ok,2024-02-22 19:30:00,2.39,2.39,2.28,2.35,19241
ok,2024-02-23 04:00:00,2.2,2.51,1.93,1.99,57497
ok,2024-02-23 04:30:00,1.93,2.0,1.82,1.9,48699
ok,2024-02-23 05:00:00,1.91,1.97,1.87,1.97,12068
ok,2024-02-23 05:30:00,1.97,1.99,1.85,1.86,20664
ok,2024-02-23 06:00:00,1.85,1.87,1.8,1.87,10746
ok,2024-02-23 06:30:00,1.82,2.09,1.82,1.88,24619
ok,2024-02-23 07:00:00,1.9,1.98,1.78,1.85,28472
ok,2024-02-23 07:30:00,1.89,1.95,1.85,1.89,17881
ok,2024-02-23 08:00:00,1.92,2.02,1.77,1.85,125443
ok,2024-02-23 08:30:00,1.85,1.85,1.76,1.79,17824
ok,2024-02-23 09:00:00,1.82,1.85,1.76,1.8,31393
ok,2024-02-23 09:30:00,1.82,1.9,1.46,1.59,274558
ok,2024-02-23 10:00:00,1.58,1.7,1.46,1.62,200460
ok,2024-02-23 10:30:00,1.59,1.65,1.55,1.59,42289
ok,2024-02-23 11:00:00,1.59,1.63,1.56,1.58,39854
ok,2024-02-23 11:30:00,1.58,1.62,1.46,1.5,57101
ok,2024-02-23 12:00:00,1.5,1.53,1.46,1.49,33281
ok,2024-02-23 12:30:00,1.49,1.6,1.46,1.6,73402
ok,2024-02-23 13:00:00,1.6,1.6,1.48,1.49,78955
ok,2024-02-23 13:30:00,1.52,1.58,1.49,1.52,28710
ok,2024-02-23 14:00:00,1.52,1.57,1.51,1.55,23676
ok,2024-02-23 14:30:00,1.55,1.59,1.54,1.56,28802
ok,2024-02-23 15:00:00,1.56,1.6,1.56,1.6,27399
ok,2024-02-23 15:30:00,1.6,1.65,1.57,1.61,42194
ok,2024-02-23 16:00:00,1.61,1.61,1.55,1.55,3353
ok,2024-02-23 16:30:00,1.59,1.6,1.54,1.59,12245
ok,2024-02-23 17:00:00,1.58,1.6,1.55,1.6,3643
ok,2024-02-23 17:30:00,1.6,1.62,1.55,1.56,9537
ok,2024-02-23 18:00:00,1.55,1.55,1.45,1.51,6470
ok,2024-02-23 18:30:00,1.5,1.61,1.47,1.55,4850
ok,2024-02-23 19:00:00,1.54,1.55,1.5,1.55,1894
ok,2024-02-23 19:30:00,1.48,1.61,1.48,1.59,10725
ok,2024-02-26 04:00:00,1.57,1.64,1.41,1.64,5853
ok,2024-02-26 04:30:00,1.5,1.62,1.49,1.5,2627
ok,2024-02-26 05:00:00,1.5,1.51,1.5,1.51,842
ok,2024-02-26 05:30:00,1.51,1.51,1.5,1.51,1537
ok,2024-02-26 06:00:00,1.49,1.5,1.49,1.5,767
