s,t,o,h,l,c,v
ok,2024-01-02 09:00:00,1.45,1.45,1.45,1.45,2500
ok,2024-01-02 09:30:00,1.42,1.47,1.42,1.43,12199
ok,2024-01-02 10:00:00,1.45,1.46,1.45,1.46,2161
ok,2024-01-02 10:30:00,1.44,1.45,1.42,1.43,2813
ok,2024-01-02 11:00:00,1.42,1.42,1.4,1.4,33954
ok,2024-01-02 11:30:00,1.4,1.44,1.4,1.4,6596
ok,2024-01-02 12:00:00,1.4,1.42,1.4,1.4,6453
ok,2024-01-02 12:30:00,1.4,1.41,1.4,1.4,2677
ok,2024-01-02 13:00:00,1.4,1.4,1.38,1.38,63028
ok,2024-01-02 13:30:00,1.38,1.4,1.38,1.39,7934
ok,2024-01-02 14:00:00,1.39,1.4,1.37,1.4,9130
ok,2024-01-02 14:30:00,1.4,1.4,1.37,1.38,5501
ok,2024-01-02 15:00:00,1.39,1.4,1.38,1.4,6145
ok,2024-01-02 15:30:00,1.38,1.46,1.38,1.44,25625
ok,2024-01-02 17:30:00,1.51,1.51,1.51,1.51,1300
ok,2024-01-02 18:00:00,1.55,1.62,1.55,1.62,2800
ok,2024-01-02 18:30:00,1.68,1.69,1.65,1.65,6610
ok,2024-01-02 19:00:00,1.65,1.65,1.65,1.65,101
ok,2024-01-02 19:30:00,1.66,1.67,1.62,1.62,1787
ok,2024-01-03 07:00:00,1.57,1.62,1.57,1.58,1405
ok,2024-01-03 08:00:00,1.69,1.69,1.55,1.62,2190
ok,2024-01-03 08:30:00,1.6,1.6,1.57,1.57,976
ok,2024-01-03 09:00:00,1.58,1.62,1.58,1.62,245
ok,2024-01-03 09:30:00,1.6,1.6,1.52,1.58,31380
ok,2024-01-03 10:00:00,1.59,1.63,1.48,1.54,60346
ok,2024-01-03 10:30:00,1.52,1.52,1.47,1.48,11451
ok,2024-01-03 11:00:00,1.48,1.48,1.41,1.45,10929
ok,2024-01-03 11:30:00,1.46,1.49,1.46,1.47,10991
ok,2024-01-03 12:00:00,1.45,1.45,1.38,1.38,18027
ok,2024-01-03 12:30:00,1.38,1.41,1.38,1.4,29477
ok,2024-01-03 13:00:00,1.38,1.4,1.38,1.39,27486
ok,2024-01-03 13:30:00,1.39,1.4,1.38,1.4,31450
ok,2024-01-03 14:00:00,1.4,1.4,1.39,1.4,10864
ok,2024-01-03 14:30:00,1.4,1.41,1.4,1.41,15814
ok,2024-01-03 15:00:00,1.4,1.41,1.39,1.4,53318
ok,2024-01-03 15:30:00,1.4,1.46,1.39,1.4,72596
ok,2024-01-03 16:00:00,1.4,1.4,1.4,1.4,249
ok,2024-01-03 18:00:00,1.46,1.47,1.45,1.46,8400
ok,2024-01-03 18:30:00,1.46,1.48,1.46,1.47,10338
ok,2024-01-04 09:00:00,1.47,1.47,1.44,1.44,3465
ok,2024-01-04 09:30:00,1.42,1.51,1.4,1.43,27066
ok,2024-01-04 10:00:00,1.43,1.44,1.42,1.43,5338
ok,2024-01-04 10:30:00,1.45,1.45,1.4,1.43,15981
ok,2024-01-04 11:00:00,1.4,1.43,1.37,1.4,13018
ok,2024-01-04 11:30:00,1.4,1.41,1.38,1.41,5102
ok,2024-01-04 12:00:00,1.38,1.4,1.38,1.38,4454
ok,2024-01-04 12:30:00,1.38,1.4,1.37,1.39,25346
ok,2024-01-04 13:00:00,1.39,1.39,1.37,1.37,7238
ok,2024-01-04 13:30:00,1.39,1.39,1.37,1.38,3335
ok,2024-01-04 14:00:00,1.38,1.39,1.37,1.39,2847
ok,2024-01-04 14:30:00,1.38,1.4,1.37,1.38,12563
ok,2024-01-04 15:00:00,1.38,1.4,1.38,1.39,7262
ok,2024-01-04 15:30:00,1.39,1.44,1.39,1.42,40131
ok,2024-01-04 17:30:00,1.47,1.47,1.47,1.47,1056
ok,2024-01-05 05:00:00,1.47,1.47,1.47,1.47,346
ok,2024-01-05 06:00:00,1.42,1.42,1.42,1.42,346
ok,2024-01-05 08:00:00,1.42,1.42,1.42,1.42,135
ok,2024-01-05 09:30:00,1.43,1.45,1.41,1.44,11498
ok,2024-01-05 10:00:00,1.45,1.48,1.45,1.45,3984
ok,2024-01-05 10:30:00,1.47,1.48,1.45,1.46,3660
ok,2024-01-05 11:00:00,1.46,1.46,1.42,1.42,1878
ok,2024-01-05 11:30:00,1.45,1.45,1.39,1.4,10727
ok,2024-01-05 12:00:00,1.41,1.42,1.4,1.41,5583
ok,2024-01-05 12:30:00,1.41,1.43,1.4,1.42,5149
ok,2024-01-05 13:00:00,1.43,1.43,1.4,1.43,1702
ok,2024-01-05 13:30:00,1.44,1.45,1.42,1.45,2917
ok,2024-01-05 14:00:00,1.45,1.45,1.43,1.45,3245
ok,2024-01-05 14:30:00,1.45,1.45,1.43,1.44,6298
ok,2024-01-05 15:00:00,1.44,1.44,1.4,1.43,4496
ok,2024-01-05 15:30:00,1.4,1.44,1.39,1.41,44919
ok,2024-01-08 09:30:00,1.41,1.45,1.41,1.42,4120
ok,2024-01-08 10:00:00,1.44,1.44,1.37,1.4,16922
ok,2024-01-08 10:30:00,1.39,1.4,1.38,1.4,1291
ok,2024-01-08 11:00:00,1.4,1.42,1.37,1.4,13713
ok,2024-01-08 11:30:00,1.4,1.42,1.39,1.4,1746
ok,2024-01-08 12:00:00,1.4,1.42,1.39,1.4,13336
ok,2024-01-08 12:30:00,1.4,1.41,1.4,1.41,1036
ok,2024-01-08 13:00:00,1.4,1.41,1.4,1.41,3700
ok,2024-01-08 13:30:00,1.42,1.42,1.4,1.4,6104
ok,2024-01-08 14:00:00,1.4,1.4,1.35,1.4,28261
ok,2024-01-08 14:30:00,1.41,1.42,1.4,1.4,8699
ok,2024-01-08 15:00:00,1.4,1.41,1.4,1.4,5253
ok,2024-01-08 15:30:00,1.41,1.42,1.4,1.42,14117
ok,2024-01-08 16:00:00,1.41,1.41,1.41,1.41,839
ok,2024-01-09 09:30:00,1.4,1.46,1.39,1.4,22601
ok,2024-01-09 10:00:00,1.4,1.4,1.39,1.4,2819
ok,2024-01-09 10:30:00,1.4,1.4,1.36,1.36,35117
ok,2024-01-09 11:00:00,1.36,1.4,1.36,1.4,12847
ok,2024-01-09 11:30:00,1.4,1.41,1.4,1.41,1302
ok,2024-01-09 12:00:00,1.4,1.41,1.39,1.39,831
ok,2024-01-09 12:30:00,1.4,1.42,1.39,1.42,8432
ok,2024-01-09 13:00:00,1.42,1.42,1.38,1.4,4472
ok,2024-01-09 13:30:00,1.4,1.41,1.38,1.41,1372
ok,2024-01-09 14:00:00,1.4,1.41,1.38,1.4,8733
ok,2024-01-09 14:30:00,1.4,1.4,1.39,1.4,7072
ok,2024-01-09 15:00:00,1.39,1.4,1.37,1.38,8289
ok,2024-01-09 15:30:00,1.38,1.4,1.37,1.39,26284
ok,2024-01-10 09:30:00,1.38,1.41,1.36,1.38,8486
ok,2024-01-10 10:00:00,1.36,1.38,1.36,1.38,8229
ok,2024-01-10 10:30:00,1.37,1.38,1.36,1.38,3021
ok,2024-01-10 11:00:00,1.37,1.38,1.35,1.38,12779
ok,2024-01-10 11:30:00,1.39,1.39,1.37,1.38,1389
ok,2024-01-10 12:00:00,1.37,1.38,1.37,1.37,780
ok,2024-01-10 12:30:00,1.38,1.38,1.37,1.38,1118
ok,2024-01-10 13:00:00,1.38,1.4,1.38,1.4,15394
ok,2024-01-10 13:30:00,1.41,1.42,1.41,1.41,700
ok,2024-01-10 14:00:00,1.4,1.4,1.39,1.39,4474
ok,2024-01-10 14:30:00,1.4,1.42,1.4,1.41,7767
ok,2024-01-10 15:00:00,1.42,1.42,1.4,1.4,6976
ok,2024-01-10 15:30:00,1.4,1.41,1.38,1.41,9536
ok,2024-01-10 16:00:00,1.41,1.41,1.41,1.41,939
ok,2024-01-10 18:00:00,1.37,1.37,1.37,1.37,125
ok,2024-01-11 09:30:00,1.4,1.42,1.4,1.41,3893
ok,2024-01-11 10:00:00,1.41,1.41,1.36,1.36,43729
ok,2024-01-11 10:30:00,1.38,1.39,1.37,1.38,9492
ok,2024-01-11 11:00:00,1.36,1.38,1.32,1.34,8937
ok,2024-01-11 11:30:00,1.31,1.36,1.31,1.36,15082
ok,2024-01-11 12:00:00,1.36,1.36,1.35,1.36,19742
ok,2024-01-11 12:30:00,1.36,1.36,1.34,1.36,16195
ok,2024-01-11 13:00:00,1.36,1.36,1.35,1.36,8690
ok,2024-01-11 13:30:00,1.35,1.36,1.35,1.36,2662
ok,2024-01-11 14:00:00,1.36,1.36,1.35,1.36,42237
ok,2024-01-11 14:30:00,1.35,1.36,1.34,1.35,10071
ok,2024-01-11 15:00:00,1.35,1.35,1.33,1.34,18218
ok,2024-01-11 15:30:00,1.34,1.35,1.3,1.32,51243
ok,2024-01-11 16:00:00,1.29,1.29,1.29,1.29,200
ok,2024-01-11 17:30:00,1.32,1.32,1.32,1.32,145
ok,2024-01-12 09:00:00,1.32,1.32,1.32,1.32,800
ok,2024-01-12 09:30:00,1.36,1.48,1.32,1.42,42741
ok,2024-01-12 10:00:00,1.41,1.43,1.36,1.41,2173
ok,2024-01-12 10:30:00,1.39,1.4,1.38,1.38,1949
ok,2024-01-12 11:00:00,1.38,1.39,1.38,1.38,335
ok,2024-01-12 11:30:00,1.38,1.38,1.37,1.37,2709
ok,2024-01-12 12:00:00,1.38,1.38,1.36,1.38,1100
ok,2024-01-12 12:30:00,1.38,1.41,1.36,1.41,18754
ok,2024-01-12 13:00:00,1.42,1.42,1.4,1.4,10278
ok,2024-01-12 13:30:00,1.4,1.41,1.39,1.4,13755
ok,2024-01-12 14:00:00,1.41,1.41,1.4,1.4,6594
ok,2024-01-12 14:30:00,1.4,1.41,1.38,1.41,26678
ok,2024-01-12 15:00:00,1.4,1.4,1.39,1.4,4032
ok,2024-01-12 15:30:00,1.4,1.42,1.4,1.4,16462
ok,2024-01-12 16:00:00,1.4,1.4,1.4,1.4,1011
ok,2024-01-12 17:00:00,1.44,1.44,1.4,1.4,450
ok,2024-01-16 09:30:00,1.45,1.46,1.35,1.35,9393
ok,2024-01-16 10:00:00,1.33,1.38,1.33,1.38,1667
ok,2024-01-16 10:30:00,1.37,1.38,1.36,1.36,13841
ok,2024-01-16 11:00:00,1.36,1.39,1.34,1.39,18610
ok,2024-01-16 11:30:00,1.39,1.4,1.37,1.38,1504
ok,2024-01-16 12:00:00,1.37,1.38,1.36,1.36,4105
ok,2024-01-16 12:30:00,1.36,1.37,1.34,1.36,3451
ok,2024-01-16 13:00:00,1.34,1.36,1.34,1.35,2949
ok,2024-01-16 13:30:00,1.35,1.36,1.32,1.32,8199
ok,2024-01-16 14:00:00,1.33,1.35,1.32,1.33,8136
ok,2024-01-16 14:30:00,1.34,1.35,1.32,1.34,8756
ok,2024-01-16 15:00:00,1.35,1.35,1.32,1.34,12517
ok,2024-01-16 15:30:00,1.33,1.38,1.33,1.35,33873
ok,2024-01-16 17:00:00,1.35,1.35,1.35,1.35,159
ok,2024-01-17 09:30:00,1.32,1.33,1.3,1.33,1571
ok,2024-01-17 10:00:00,1.34,1.34,1.34,1.34,2338
ok,2024-01-17 10:30:00,1.34,1.35,1.32,1.35,6862
ok,2024-01-17 11:00:00,1.34,1.34,1.26,1.26,20726
ok,2024-01-17 11:30:00,1.26,1.3,1.26,1.3,8957
ok,2024-01-17 12:00:00,1.29,1.3,1.27,1.27,3319
ok,2024-01-17 12:30:00,1.27,1.31,1.27,1.31,3414
ok,2024-01-17 13:00:00,1.3,1.34,1.3,1.32,3006
ok,2024-01-17 13:30:00,1.32,1.32,1.29,1.32,1730
ok,2024-01-17 14:00:00,1.32,1.32,1.3,1.31,10382
ok,2024-01-17 14:30:00,1.3,1.33,1.3,1.33,10577
ok,2024-01-17 15:00:00,1.34,1.34,1.3,1.3,21996
ok,2024-01-17 15:30:00,1.3,1.3,1.29,1.3,40773
ok,2024-01-17 16:00:00,1.29,1.29,1.29,1.29,663
ok,2024-01-18 09:30:00,1.29,1.3,1.25,1.26,2146
ok,2024-01-18 10:00:00,1.27,1.28,1.25,1.25,9084
ok,2024-01-18 10:30:00,1.27,1.27,1.12,1.15,40871
ok,2024-01-18 11:00:00,1.14,1.18,1.12,1.17,13203
ok,2024-01-18 11:30:00,1.17,1.2,1.17,1.2,2660
ok,2024-01-18 12:00:00,1.2,1.2,1.18,1.18,4174
ok,2024-01-18 12:30:00,1.18,1.18,1.18,1.18,484
ok,2024-01-18 13:00:00,1.18,1.18,1.16,1.18,21388
ok,2024-01-18 13:30:00,1.18,1.18,1.18,1.18,637
ok,2024-01-18 14:00:00,1.18,1.18,1.17,1.18,497
ok,2024-01-18 14:30:00,1.18,1.19,1.18,1.19,3059
ok,2024-01-18 15:00:00,1.19,1.2,1.19,1.2,2750
ok,2024-01-18 15:30:00,1.2,1.21,1.2,1.21,28103
ok,2024-01-18 17:30:00,1.25,1.25,1.25,1.25,908
ok,2024-01-19 09:30:00,1.21,1.21,1.16,1.2,16326
ok,2024-01-19 10:00:00,1.2,1.2,1.16,1.16,6050
ok,2024-01-19 10:30:00,1.16,1.16,1.11,1.11,26199
ok,2024-01-19 11:00:00,1.12,1.15,1.12,1.15,46242
ok,2024-01-19 11:30:00,1.14,1.15,1.14,1.14,5559
ok,2024-01-19 12:00:00,1.14,1.17,1.14,1.17,17765
ok,2024-01-19 12:30:00,1.18,1.19,1.18,1.19,1140
ok,2024-01-19 13:00:00,1.18,1.19,1.17,1.18,2521
ok,2024-01-19 13:30:00,1.19,1.2,1.18,1.2,10740
ok,2024-01-19 14:00:00,1.19,1.2,1.19,1.2,36229
ok,2024-01-19 14:30:00,1.2,1.2,1.19,1.19,1074
ok,2024-01-19 15:00:00,1.18,1.2,1.18,1.2,10914
ok,2024-01-19 15:30:00,1.2,1.2,1.19,1.19,35432
ok,2024-01-22 09:30:00,1.2,1.27,1.2,1.23,7991
ok,2024-01-22 10:00:00,1.23,1.25,1.22,1.25,3837
ok,2024-01-22 10:30:00,1.24,1.26,1.24,1.24,880
ok,2024-01-22 11:00:00,1.23,1.23,1.22,1.22,562
ok,2024-01-22 11:30:00,1.25,1.29,1.23,1.24,12065
ok,2024-01-22 12:00:00,1.25,1.26,1.23,1.25,12389
ok,2024-01-22 12:30:00,1.25,1.25,1.23,1.24,6797
ok,2024-01-22 13:00:00,1.24,1.24,1.21,1.21,6402
ok,2024-01-22 13:30:00,1.21,1.22,1.2,1.2,2528
ok,2024-01-22 14:00:00,1.21,1.21,1.18,1.2,7772
ok,2024-01-22 14:30:00,1.2,1.2,1.18,1.19,4400
ok,2024-01-22 15:00:00,1.19,1.23,1.19,1.23,6584
ok,2024-01-22 15:30:00,1.22,1.23,1.18,1.2,23506
ok,2024-01-22 16:00:00,1.2,1.2,1.2,1.2,828
ok,2024-01-23 09:30:00,1.24,1.24,1.24,1.24,548
ok,2024-01-23 10:00:00,1.22,1.22,1.2,1.21,1304
ok,2024-01-23 10:30:00,1.2,1.21,1.17,1.2,1423
ok,2024-01-23 11:00:00,1.21,1.21,1.21,1.21,100
ok,2024-01-23 11:30:00,1.19,1.21,1.19,1.2,603
ok,2024-01-23 12:00:00,1.22,1.22,1.19,1.19,1879
ok,2024-01-23 12:30:00,1.16,1.19,1.16,1.19,743
ok,2024-01-23 13:30:00,1.15,1.17,1.15,1.16,3957
ok,2024-01-23 14:00:00,1.15,1.18,1.11,1.16,23524
ok,2024-01-23 14:30:00,1.14,1.15,1.13,1.14,1675
ok,2024-01-23 15:00:00,1.15,1.18,1.14,1.17,8907
ok,2024-01-23 15:30:00,1.17,1.19,1.17,1.17,7352
ok,2024-01-23 16:00:00,1.18,1.18,1.18,1.18,245
ok,2024-01-23 16:30:00,1.22,1.22,1.22,1.22,1398
ok,2024-01-23 17:00:00,1.23,1.23,1.23,1.23,425
ok,2024-01-24 07:30:00,1.2,1.2,1.2,1.2,155
ok,2024-01-24 08:00:00,1.17,1.39,1.17,1.26,11813
ok,2024-01-24 08:30:00,1.25,1.32,1.25,1.32,891
ok,2024-01-24 09:00:00,1.35,1.35,1.25,1.25,2812
ok,2024-01-24 09:30:00,1.24,1.32,1.24,1.24,23367
ok,2024-01-24 10:00:00,1.23,1.24,1.22,1.24,9140
ok,2024-01-24 10:30:00,1.24,1.24,1.22,1.22,1035
ok,2024-01-24 11:00:00,1.22,1.23,1.21,1.22,1425
ok,2024-01-24 11:30:00,1.23,1.23,1.21,1.23,677
ok,2024-01-24 12:00:00,1.24,1.24,1.22,1.23,996
ok,2024-01-24 12:30:00,1.22,1.22,1.22,1.22,548
ok,2024-01-24 13:00:00,1.23,1.23,1.23,1.23,189
ok,2024-01-24 13:30:00,1.21,1.25,1.21,1.25,11633
ok,2024-01-24 14:00:00,1.24,1.25,1.23,1.25,9691
ok,2024-01-24 14:30:00,1.25,1.27,1.24,1.26,7825
ok,2024-01-24 15:00:00,1.28,1.28,1.26,1.26,761
ok,2024-01-24 15:30:00,1.26,1.26,1.25,1.25,12118
ok,2024-01-24 16:00:00,1.25,1.25,1.25,1.25,241
ok,2024-01-24 17:00:00,1.23,1.23,1.23,1.23,100
ok,2024-01-25 04:00:00,1.24,1.25,1.24,1.25,206
ok,2024-01-25 08:00:00,1.2,1.2,1.2,1.2,200
ok,2024-01-25 09:30:00,1.31,1.34,1.27,1.3,16896
ok,2024-01-25 10:00:00,1.32,1.32,1.3,1.3,9020
ok,2024-01-25 10:30:00,1.3,1.3,1.27,1.29,941
ok,2024-01-25 11:00:00,1.3,1.32,1.29,1.31,5377
ok,2024-01-25 12:00:00,1.29,1.3,1.29,1.3,547
ok,2024-01-25 12:30:00,1.31,1.32,1.3,1.3,5850
ok,2024-01-25 13:00:00,1.31,1.31,1.3,1.3,6976
ok,2024-01-25 13:30:00,1.3,1.3,1.27,1.29,13261
ok,2024-01-25 14:00:00,1.27,1.3,1.27,1.29,3705
ok,2024-01-25 14:30:00,1.29,1.3,1.28,1.29,13741
ok,2024-01-25 15:00:00,1.29,1.3,1.27,1.29,5677
ok,2024-01-25 15:30:00,1.29,1.3,1.29,1.29,10255
ok,2024-01-25 16:00:00,1.29,1.29,1.29,1.29,1307
ok,2024-01-26 09:30:00,1.25,1.33,1.25,1.33,8393
ok,2024-01-26 10:00:00,1.29,1.32,1.26,1.26,2087
ok,2024-01-26 10:30:00,1.26,1.34,1.25,1.33,15906
ok,2024-01-26 11:00:00,1.33,1.33,1.3,1.33,1299
ok,2024-01-26 11:30:00,1.33,1.36,1.33,1.35,8003
ok,2024-01-26 12:00:00,1.33,1.35,1.33,1.35,390
ok,2024-01-26 12:30:00,1.35,1.35,1.3,1.32,4909
ok,2024-01-26 13:00:00,1.34,1.35,1.32,1.32,6473
ok,2024-01-26 13:30:00,1.34,1.37,1.32,1.36,8264
ok,2024-01-26 14:00:00,1.35,1.35,1.32,1.35,2275
ok,2024-01-26 14:30:00,1.35,1.36,1.34,1.36,1510
ok,2024-01-26 15:30:00,1.34,1.4,1.34,1.37,13696
ok,2024-01-26 16:00:00,1.36,1.42,1.36,1.36,1708
ok,2024-01-29 09:30:00,1.38,1.38,1.33,1.33,3972
ok,2024-01-29 10:00:00,1.32,1.32,1.28,1.32,3345
ok,2024-01-29 10:30:00,1.35,1.35,1.32,1.35,1622
ok,2024-01-29 11:00:00,1.35,1.35,1.35,1.35,237
ok,2024-01-29 11:30:00,1.34,1.34,1.3,1.3,7137
ok,2024-01-29 12:00:00,1.3,1.31,1.29,1.31,1812
ok,2024-01-29 12:30:00,1.32,1.34,1.32,1.34,997
ok,2024-01-29 13:00:00,1.34,1.34,1.34,1.34,200
ok,2024-01-29 13:30:00,1.34,1.38,1.34,1.38,1985
ok,2024-01-29 14:00:00,1.36,1.38,1.35,1.37,1085
ok,2024-01-29 14:30:00,1.37,1.37,1.35,1.37,510
ok,2024-01-29 15:00:00,1.37,1.4,1.37,1.37,3950
ok,2024-01-29 15:30:00,1.39,1.5,1.37,1.5,34008
ok,2024-01-29 16:00:00,1.44,1.44,1.44,1.44,200
ok,2024-01-29 17:00:00,1.39,1.39,1.38,1.38,1138
ok,2024-01-30 08:00:00,1.4,1.42,1.4,1.42,750
ok,2024-01-30 09:30:00,1.46,1.53,1.46,1.48,4724
ok,2024-01-30 10:00:00,1.46,1.48,1.45,1.45,822
ok,2024-01-30 10:30:00,1.45,1.49,1.45,1.48,4874
ok,2024-01-30 11:00:00,1.46,1.49,1.46,1.48,7718
ok,2024-01-30 11:30:00,1.48,1.49,1.46,1.46,1895
ok,2024-01-30 12:00:00,1.46,1.51,1.46,1.51,33946
ok,2024-01-30 12:30:00,1.51,1.51,1.49,1.49,3140
ok,2024-01-30 13:00:00,1.5,1.53,1.49,1.51,15551
ok,2024-01-30 13:30:00,1.51,1.51,1.51,1.51,329
ok,2024-01-30 14:00:00,1.53,1.53,1.5,1.5,1709
ok,2024-01-30 14:30:00,1.5,1.51,1.5,1.5,1871
ok,2024-01-30 15:00:00,1.5,1.52,1.45,1.45,7800
ok,2024-01-30 15:30:00,1.46,1.47,1.42,1.45,13098
ok,2024-01-30 16:00:00,1.43,1.43,1.43,1.43,119
ok,2024-01-31 09:30:00,1.46,1.49,1.46,1.49,1762
ok,2024-01-31 10:00:00,1.44,1.44,1.44,1.44,206
ok,2024-01-31 10:30:00,1.45,1.45,1.44,1.44,473
ok,2024-01-31 11:00:00,1.44,1.44,1.44,1.44,300
ok,2024-01-31 11:30:00,1.42,1.42,1.41,1.41,375
ok,2024-01-31 12:00:00,1.41,1.42,1.41,1.42,300
ok,2024-01-31 12:30:00,1.44,1.44,1.44,1.44,2618
ok,2024-01-31 13:00:00,1.45,1.45,1.44,1.44,300
ok,2024-01-31 13:30:00,1.44,1.44,1.43,1.43,835
ok,2024-01-31 14:30:00,1.45,1.49,1.45,1.48,3492
ok,2024-01-31 15:00:00,1.48,1.48,1.42,1.46,7601
ok,2024-01-31 15:30:00,1.42,1.48,1.42,1.43,17757
ok,2024-01-31 18:00:00,1.37,1.37,1.37,1.37,500
ok,2024-02-01 09:00:00,1.42,1.42,1.42,1.42,3000
ok,2024-02-01 09:30:00,1.43,1.48,1.37,1.4,7720
ok,2024-02-01 10:00:00,1.39,1.41,1.38,1.38,488
ok,2024-02-01 10:30:00,1.38,1.4,1.31,1.31,7746
ok,2024-02-01 11:00:00,1.33,1.33,1.31,1.31,305
ok,2024-02-01 11:30:00,1.32,1.34,1.32,1.34,1344
ok,2024-02-01 12:00:00,1.36,1.36,1.36,1.36,401
ok,2024-02-01 12:30:00,1.37,1.37,1.37,1.37,100
ok,2024-02-01 13:00:00,1.34,1.34,1.31,1.32,2309
ok,2024-02-01 13:30:00,1.31,1.31,1.3,1.31,1529
ok,2024-02-01 14:00:00,1.32,1.36,1.32,1.35,2397
ok,2024-02-01 14:30:00,1.35,1.39,1.32,1.34,4039
ok,2024-02-01 15:00:00,1.37,1.37,1.33,1.34,5111
ok,2024-02-01 15:30:00,1.33,1.38,1.32,1.35,13735
ok,2024-02-01 16:00:00,1.36,1.36,1.36,1.36,166
ok,2024-02-01 19:00:00,1.36,1.36,1.36,1.36,128
ok,2024-02-02 09:30:00,1.36,1.41,1.25,1.3,10206
ok,2024-02-02 10:00:00,1.3,1.3,1.27,1.29,1028
ok,2024-02-02 10:30:00,1.29,1.31,1.28,1.3,2013
ok,2024-02-02 11:00:00,1.3,1.3,1.29,1.29,200
ok,2024-02-02 11:30:00,1.3,1.32,1.3,1.32,1166
ok,2024-02-02 12:00:00,1.3,1.32,1.3,1.31,512
ok,2024-02-02 12:30:00,1.31,1.31,1.31,1.31,473
ok,2024-02-02 13:00:00,1.3,1.31,1.3,1.3,370
ok,2024-02-02 13:30:00,1.31,1.31,1.3,1.3,345
ok,2024-02-02 14:00:00,1.31,1.32,1.3,1.32,5912
ok,2024-02-02 14:30:00,1.31,1.31,1.27,1.29,5879
ok,2024-02-02 15:00:00,1.28,1.33,1.28,1.31,6552
ok,2024-02-02 15:30:00,1.31,1.33,1.28,1.3,17174
ok,2024-02-02 16:00:00,1.3,1.3,1.3,1.3,204
ok,2024-02-05 09:30:00,1.28,1.32,1.28,1.32,2172
ok,2024-02-05 10:00:00,1.3,1.3,1.27,1.3,2081
ok,2024-02-05 10:30:00,1.31,1.31,1.28,1.3,2329
ok,2024-02-05 11:00:00,1.31,1.31,1.29,1.29,1608
ok,2024-02-05 11:30:00,1.28,1.28,1.27,1.27,4572
ok,2024-02-05 12:00:00,1.27,1.3,1.27,1.3,9747
ok,2024-02-05 12:30:00,1.3,1.31,1.3,1.31,1825
ok,2024-02-05 13:00:00,1.3,1.3,1.3,1.3,400
ok,2024-02-05 13:30:00,1.28,1.29,1.27,1.27,5491
ok,2024-02-05 14:00:00,1.27,1.28,1.27,1.28,3554
ok,2024-02-05 14:30:00,1.28,1.29,1.27,1.28,17724
ok,2024-02-05 15:00:00,1.29,1.3,1.28,1.28,5566
ok,2024-02-05 15:30:00,1.28,1.28,1.27,1.27,31499
ok,2024-02-05 16:00:00,1.27,1.27,1.27,1.27,601
ok,2024-02-05 16:30:00,1.31,1.31,1.31,1.31,200
ok,2024-02-06 09:00:00,1.25,1.25,1.25,1.25,300
ok,2024-02-06 09:30:00,1.26,1.29,1.26,1.28,2318
ok,2024-02-06 10:00:00,1.26,1.3,1.26,1.28,619
ok,2024-02-06 10:30:00,1.27,1.3,1.27,1.27,831
ok,2024-02-06 11:00:00,1.3,1.3,1.28,1.28,3030
ok,2024-02-06 11:30:00,1.28,1.29,1.28,1.29,1605
ok,2024-02-06 12:00:00,1.29,1.3,1.29,1.3,562
ok,2024-02-06 12:30:00,1.3,1.3,1.27,1.29,1452
ok,2024-02-06 13:00:00,1.3,1.3,1.29,1.3,1063
ok,2024-02-06 13:30:00,1.29,1.3,1.29,1.3,935
ok,2024-02-06 14:00:00,1.3,1.31,1.29,1.3,1337
ok,2024-02-06 14:30:00,1.29,1.31,1.29,1.31,2514
ok,2024-02-06 15:00:00,1.29,1.33,1.29,1.32,5371
ok,2024-02-06 15:30:00,1.32,1.36,1.32,1.34,17878
ok,2024-02-06 19:30:00,1.36,1.36,1.36,1.36,200
ok,2024-02-07 09:30:00,1.31,1.31,1.26,1.26,3093
ok,2024-02-07 10:00:00,1.26,1.3,1.26,1.27,620
ok,2024-02-07 10:30:00,1.3,1.31,1.22,1.25,42631
ok,2024-02-07 11:00:00,1.25,1.26,1.22,1.26,1809
ok,2024-02-07 11:30:00,1.25,1.25,1.22,1.23,1438
ok,2024-02-07 12:00:00,1.23,1.24,1.18,1.19,10506
ok,2024-02-07 12:30:00,1.18,1.19,1.18,1.18,2088
ok,2024-02-07 13:00:00,1.18,1.22,1.17,1.22,5531
ok,2024-02-07 13:30:00,1.23,1.25,1.2,1.22,3390
ok,2024-02-07 14:00:00,1.23,1.23,1.22,1.22,1497
ok,2024-02-07 14:30:00,1.22,1.25,1.22,1.25,4090
ok,2024-02-07 15:00:00,1.25,1.27,1.24,1.26,7739
ok,2024-02-07 15:30:00,1.26,1.31,1.26,1.3,11645
ok,2024-02-07 16:00:00,1.31,1.31,1.31,1.31,457
ok,2024-02-07 16:30:00,1.33,1.34,1.33,1.34,346
ok,2024-02-08 09:30:00,1.31,1.31,1.31,1.31,425
ok,2024-02-08 10:00:00,1.25,1.25,1.25,1.25,314
ok,2024-02-08 10:30:00,1.28,1.29,1.26,1.29,2744
ok,2024-02-08 11:00:00,1.3,1.32,1.27,1.27,5078
ok,2024-02-08 11:30:00,1.28,1.3,1.28,1.3,3375
ok,2024-02-08 12:00:00,1.3,1.3,1.28,1.28,2075
ok,2024-02-08 12:30:00,1.3,1.3,1.28,1.3,4833
ok,2024-02-08 13:00:00,1.31,1.32,1.3,1.32,1328
ok,2024-02-08 13:30:00,1.3,1.32,1.3,1.31,2719
ok,2024-02-08 14:00:00,1.32,1.35,1.31,1.35,5713
